TF,TF_id,gene,gene_id,effect,evidence,ev_level
fnr,b1334,ybiW,b0823,+,"CHIP-SV, MSI",inf
fnr,b1334,ybiW,b0823,-,"CHIP-SV, MSI",inf
fnr,b1334,ybiY,b0824,+,"CHIP-SV, MSI",inf
fnr,b1334,ybiY,b0824,-,"CHIP-SV, MSI",inf
fnr,b1334,fsaA,b0825,+,"CHIP-SV, MSI",inf
fnr,b1334,fsaA,b0825,-,"CHIP-SV, MSI",inf
fnr,b1334,moeB,b0826,-,"[BPP, GEA]",2
fnr,b1334,moeA,b0827,-,"[BPP, GEA]",2
fnr,b1334,rimO,b0835,+,"CHIP-SV, MSI",inf
fnr,b1334,rimO,b0835,-,"CHIP-SV, MSI",inf
fnr,b1334,bssR,b0836,+,"CHIP-SV, MSI",inf
fnr,b1334,hcp,b0873,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,hcr,b0872,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,hcp,b0873,+,"CHIP-SV, MSI",inf
fnr,b1334,hcr,b0872,+,"CHIP-SV, MSI",inf
fnr,b1334,aqpZ,b0875,+,"CHIP-SV, MSI",inf
fnr,b1334,aqpZ,b0875,-,"CHIP-SV, MSI",inf
fnr,b1334,ybjD,b0876,+,"CHIP-SV, MSI",inf
fnr,b1334,ybjD,b0876,-,"CHIP-SV, MSI",inf
fnr,b1334,cydC,b0886,-,"CHIP-SV, MSI",inf
fnr,b1334,cydD,b0887,-,"CHIP-SV, MSI",inf
fnr,b1334,cydD,b0887,+,"[GEA, HIBSCS]",1
fnr,b1334,cydC,b0886,+,"[GEA, HIBSCS]",1
fnr,b1334,dmsA,b0894,+,"[BCE, BPP, GEA, SM]",1
fnr,b1334,dmsA,b0894,+,"CHIP-SV, MSI",inf
fnr,b1334,dmsB,b0895,+,"[BCE, BPP, GEA, SM]",1
fnr,b1334,dmsB,b0895,+,"CHIP-SV, MSI",inf
fnr,b1334,dmsC,b0896,+,"[BCE, BPP, GEA, SM]",1
fnr,b1334,dmsC,b0896,+,"CHIP-SV, MSI",inf
fnr,b1334,focA,b0904,+,"[BCE, GEA, HIBSCS, SM]",1
fnr,b1334,pflB,b0903,+,"[BCE, GEA, HIBSCS, SM]",1
fnr,b1334,focA,b0904,+,"[BCE, GEA, SM]",1
fnr,b1334,pflB,b0903,+,"[BCE, GEA, SM]",1
fnr,b1334,focA,b0904,+,"CHIP-SV, MSI",inf
fnr,b1334,pflB,b0903,+,"CHIP-SV, MSI",inf
fnr,b1334,focA,b0904,-,"CHIP-SV, MSI",inf
fnr,b1334,pflB,b0903,-,"CHIP-SV, MSI",inf
fnr,b1334,aspC,b0928,+,[GEA],1
fnr,b1334,aspC,b0928,-,[GEA],1
fnr,b1334,ssuB,b0933,+,"[AIBSCS, GEA]",1
fnr,b1334,ssuC,b0934,+,"[AIBSCS, GEA]",1
fnr,b1334,ssuD,b0935,+,"[AIBSCS, GEA]",1
fnr,b1334,ssuA,b0936,+,"[AIBSCS, GEA]",1
fnr,b1334,ssuE,b0937,+,"[AIBSCS, GEA]",1
fnr,b1334,pyrD,b0945,+,"CHIP-SV, MSI",inf
fnr,b1334,ptsG,b1101,+,"CHIP-SV, MSI",inf
fnr,b1334,ndh,b1109,-,"[BCE, GEA, SM]",1
fnr,b1334,potD,b1123,+,"CHIP-SV, MSI",inf
fnr,b1334,potC,b1124,+,"CHIP-SV, MSI",inf
fnr,b1334,potB,b1125,+,"CHIP-SV, MSI",inf
fnr,b1334,potA,b1126,+,"CHIP-SV, MSI",inf
fnr,b1334,pepT,b1127,+,"[AIBSCS, GEA]",1
fnr,b1334,pepT,b1127,+,"CHIP-SV, MSI",inf
fnr,b1334,iraM,b1160,+,[AIBSCS],1
fnr,b1334,hlyE,b1182,+,"[BPP, GEA]",2
fnr,b1334,dhaM,b1198,+,"CHIP-SV, MSI",inf
fnr,b1334,dhaL,b1199,+,"CHIP-SV, MSI",inf
fnr,b1334,dhaK,b1200,+,"CHIP-SV, MSI",inf
fnr,b1334,dhaR,b1201,+,"CHIP-SV, MSI",inf
fnr,b1334,dhaR,b1201,-,"CHIP-SV, MSI",inf
fnr,b1334,hemA,b1210,-,"[BPP, GEA]",2
fnr,b1334,prfA,b1211,-,"[BPP, GEA]",2
fnr,b1334,prmC,b1212,-,"[BPP, GEA]",2
fnr,b1334,ychO,b1220,-,"[AIBSCS, GEA]",1
fnr,b1334,narL,b1221,-,"[BCE, BPP, HIBSCS]",1
fnr,b1334,narL,b1221,+,"CHIP-SV, MSI",inf
fnr,b1334,narX,b1222,-,"[BCE, BPP, HIBSCS]",1
fnr,b1334,narX,b1222,+,"CHIP-SV, MSI",inf
fnr,b1334,narK,b1223,+,"[BCE, BPP, GEA, SM]",1
fnr,b1334,narK,b1223,+,"CHIP-SV, MSI",inf
fnr,b1334,narK,b1223,-,"CHIP-SV, MSI",inf
fnr,b1334,narG,b1224,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,narG,b1224,+,"CHIP-SV, MSI",inf
fnr,b1334,narH,b1225,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,narH,b1225,+,"CHIP-SV, MSI",inf
fnr,b1334,narJ,b1226,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,narJ,b1226,+,"CHIP-SV, MSI",inf
fnr,b1334,narI,b1227,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,narI,b1227,+,"CHIP-SV, MSI",inf
fnr,b1334,adhE,b1241,+,"[GEA, HIBSCS]",1
fnr,b1334,adhE,b1241,+,"CHIP-SV, MSI",inf
fnr,b1334,adhE,b1241,-,"CHIP-SV, MSI",inf
fnr,b1334,ychE,b1242,+,"CHIP-SV, MSI",inf
fnr,b1334,ychE,b1242,-,"CHIP-SV, MSI",inf
fnr,b1334,yciB,b1254,+,"CHIP-SV, MSI",inf
fnr,b1334,yciB,b1254,-,"CHIP-SV, MSI",inf
fnr,b1334,yciC,b1255,+,"CHIP-SV, MSI",inf
fnr,b1334,yciC,b1255,-,"CHIP-SV, MSI",inf
fnr,b1334,ompW,b1256,+,"[AIBSCS, BPP, GEA, HIBSCS]",1
fnr,b1334,ompW,b1256,+,"CHIP-SV, MSI",inf
fnr,b1334,ompW,b1256,-,"CHIP-SV, MSI",inf
fnr,b1334,acnA,b1276,-,"[GEA, HIBSCS]",1
fnr,b1334,puuA,b1297,-,"[AIBSCS, GEA]",1
fnr,b1334,puuP,b1296,-,"[AIBSCS, GEA]",1
fnr,b1334,tpx,b1324,-,"[GEA, HIBSCS]",1
fnr,b1334,fnr,b1334,-,"[BCE, BPP, GEA, HIBSCS]",1
fnr,b1334,fnr,b1334,+,"CHIP-SV, MSI",inf
fnr,b1334,dbpA,b1343,+,"CHIP-SV, MSI",inf
fnr,b1334,dbpA,b1343,-,"CHIP-SV, MSI",inf
fnr,b1334,uspF,b1376,+,"CHIP-SV, MSI",inf
fnr,b1334,aldA,b1415,-,"[AIBSCS, GEA]",1
fnr,b1334,ydcX,b1445,+,"CHIP-SV, MSI",inf
fnr,b1334,ydcX,b1445,-,"CHIP-SV, MSI",inf
fnr,b1334,ydcY,b1446,+,"CHIP-SV, MSI",inf
fnr,b1334,ydcY,b1446,-,"CHIP-SV, MSI",inf
fnr,b1334,yddG,b1473,+,"CHIP-SV, MSI",inf
fnr,b1334,yddG,b1473,-,"CHIP-SV, MSI",inf
fnr,b1334,fdnG,b1474,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,fdnG,b1474,+,"CHIP-SV, MSI",inf
fnr,b1334,fdnG,b1474,-,"CHIP-SV, MSI",inf
fnr,b1334,fdnH,b1475,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,fdnH,b1475,+,"CHIP-SV, MSI",inf
fnr,b1334,fdnH,b1475,-,"CHIP-SV, MSI",inf
fnr,b1334,fdnI,b1476,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,fdnI,b1476,+,"CHIP-SV, MSI",inf
fnr,b1334,fdnI,b1476,-,"CHIP-SV, MSI",inf
fnr,b1334,uxaB,b1521,+,"CHIP-SV, MSI",inf
fnr,b1334,uxaB,b1521,-,"CHIP-SV, MSI",inf
fnr,b1334,ydeJ,b1537,+,[AIBSCS],1
fnr,b1334,ydfZ,b1541,+,"CHIP-SV, MSI",inf
fnr,b1334,tfaQ,b1546,+,"CHIP-SV, MSI",inf
fnr,b1334,tfaQ,b1546,-,"CHIP-SV, MSI",inf
fnr,b1334,ydfN,b1547,+,"CHIP-SV, MSI",inf
fnr,b1334,ydfN,b1547,-,"CHIP-SV, MSI",inf
fnr,b1334,nohA,b1548,+,"CHIP-SV, MSI",inf
fnr,b1334,nohA,b1548,-,"CHIP-SV, MSI",inf
fnr,b1334,ydfO,b1549,+,"CHIP-SV, MSI",inf
fnr,b1334,ydfO,b1549,-,"CHIP-SV, MSI",inf
fnr,b1334,ynfE,b1587,+,"[AIBSCS, BPP, GEA, SM]",1
fnr,b1334,ynfE,b1587,+,"CHIP-SV, MSI",inf
fnr,b1334,ynfF,b1588,+,"[AIBSCS, BPP, GEA, SM]",1
fnr,b1334,ynfF,b1588,+,"CHIP-SV, MSI",inf
fnr,b1334,ynfG,b1589,+,"[AIBSCS, BPP, GEA, SM]",1
fnr,b1334,ynfG,b1589,+,"CHIP-SV, MSI",inf
fnr,b1334,ynfH,b1590,+,"[AIBSCS, BPP, GEA, SM]",1
fnr,b1334,ynfH,b1590,+,"CHIP-SV, MSI",inf
fnr,b1334,dmsD,b1591,+,"[AIBSCS, BPP, GEA, SM]",1
fnr,b1334,dmsD,b1591,+,"CHIP-SV, MSI",inf
fnr,b1334,ynfK,b1593,+,"CHIP-SV, MSI",inf
fnr,b1334,fumC,b1611,-,[GEA],1
fnr,b1334,fumA,b1612,-,[GEA],1
fnr,b1334,anmK,b1640,+,"CHIP-SV, MSI",inf
fnr,b1334,anmK,b1640,-,"CHIP-SV, MSI",inf
fnr,b1334,slyB,b1641,+,"CHIP-SV, MSI",inf
fnr,b1334,slyB,b1641,-,"CHIP-SV, MSI",inf
fnr,b1334,slyA,b1642,+,"CHIP-SV, MSI",inf
fnr,b1334,slyA,b1642,-,"CHIP-SV, MSI",inf
fnr,b1334,ydhI,b1643,+,"CHIP-SV, MSI",inf
fnr,b1334,ydhI,b1643,-,"CHIP-SV, MSI",inf
fnr,b1334,ydhJ,b1644,+,"CHIP-SV, MSI",inf
fnr,b1334,ydhJ,b1644,-,"CHIP-SV, MSI",inf
fnr,b1334,ydhK,b1645,+,"CHIP-SV, MSI",inf
fnr,b1334,ydhK,b1645,-,"CHIP-SV, MSI",inf
fnr,b1334,ydhT,b1669,+,"CHIP-SV, MSI",inf
fnr,b1334,ydhU,b1670,+,"CHIP-SV, MSI",inf
fnr,b1334,ydhV,b1673,+,"CHIP-SV, MSI",inf
fnr,b1334,ydhW,b1672,+,"CHIP-SV, MSI",inf
fnr,b1334,ydhX,b1671,+,"CHIP-SV, MSI",inf
fnr,b1334,ydhY,b1674,+,"CHIP-SV, MSI",inf
fnr,b1334,ydhY,b1674,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,ydhV,b1673,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,ydhW,b1672,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,ydhX,b1671,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,ydhU,b1670,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,ydhT,b1669,+,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,pheM,b1715,-,[GEA],1
fnr,b1334,rplT,b1716,-,[GEA],1
fnr,b1334,ydjX,b1750,+,"CHIP-SV, MSI",inf
fnr,b1334,ydjX,b1750,-,"CHIP-SV, MSI",inf
fnr,b1334,ydjY,b1751,+,"CHIP-SV, MSI",inf
fnr,b1334,ydjY,b1751,-,"CHIP-SV, MSI",inf
fnr,b1334,ydjZ,b1752,+,"CHIP-SV, MSI",inf
fnr,b1334,ydjZ,b1752,-,"CHIP-SV, MSI",inf
fnr,b1334,ynjA,b1753,+,"CHIP-SV, MSI",inf
fnr,b1334,ynjA,b1753,-,"CHIP-SV, MSI",inf
fnr,b1334,ynjB,b1754,+,"CHIP-SV, MSI",inf
fnr,b1334,ynjB,b1754,-,"CHIP-SV, MSI",inf
fnr,b1334,ynjC,b1755,+,"CHIP-SV, MSI",inf
fnr,b1334,ynjC,b1755,-,"CHIP-SV, MSI",inf
fnr,b1334,ynjD,b1756,+,"CHIP-SV, MSI",inf
fnr,b1334,ynjD,b1756,-,"CHIP-SV, MSI",inf
fnr,b1334,ynjE,b1757,+,"CHIP-SV, MSI",inf
fnr,b1334,gdhA,b1761,+,[GEA],1
fnr,b1334,msrB,b1778,-,"CHIP-SV, MSI",inf
fnr,b1334,msrB,b1778,+,"CHIP-SV, MSI",inf
fnr,b1334,gapA,b1779,+,"CHIP-SV, MSI",inf
fnr,b1334,yeaD,b1780,+,"CHIP-SV, MSI",inf
fnr,b1334,yeaI,b1785,+,"CHIP-SV, MSI",inf
fnr,b1334,yeaI,b1785,-,"CHIP-SV, MSI",inf
fnr,b1334,zwf,b1852,-,[GEA],1
fnr,b1334,pykA,b1854,+,"CHIP-SV, MSI",inf
fnr,b1334,tar,b1886,+,"[AIBSCS, GEA]",1
fnr,b1334,tap,b1885,+,"[AIBSCS, GEA]",1
fnr,b1334,cheR,b1884,+,"[AIBSCS, GEA]",1
fnr,b1334,cheB,b1883,+,"[AIBSCS, GEA]",1
fnr,b1334,cheY,b1882,+,"[AIBSCS, GEA]",1
fnr,b1334,cheZ,b1881,+,"[AIBSCS, GEA]",1
fnr,b1334,yecR,b1904,+,"[AIBSCS, GEA]",1
fnr,b1334,yecH,b1906,+,"CHIP-SV, MSI",inf
fnr,b1334,tyrP,b1907,+,"CHIP-SV, MSI",inf
fnr,b1334,tyrP,b1907,-,"CHIP-SV, MSI",inf
fnr,b1334,yedE,b1929,-,"CHIP-SV, MSI",inf
fnr,b1334,yedF,b1930,-,"CHIP-SV, MSI",inf
fnr,b1334,nac,b1988,-,[GEA],1
fnr,b1334,yoeA,b1995,+,"CHIP-SV, MSI",inf
fnr,b1334,yoeA,b1995,-,"CHIP-SV, MSI",inf
fnr,b1334,gnd,b2029,-,[GEA],1
fnr,b1334,yeiL,b2163,-,"[GEA, HIBSCS]",1
fnr,b1334,yeiQ,b2172,+,"CHIP-SV, MSI",inf
fnr,b1334,yeiQ,b2172,-,"CHIP-SV, MSI",inf
fnr,b1334,ccmH,b2194,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,ccmG,b2195,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,ccmF,b2196,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,ccmE,b2197,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,ccmD,b2198,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,ccmC,b2199,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,ccmB,b2200,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,ccmA,b2201,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,napC,b2202,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,napB,b2203,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,napH,b2204,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,napG,b2205,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,napA,b2206,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,napD,b2207,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,napF,b2208,+,"[GEA, HIBSCS, SM]",1
fnr,b1334,yfaL,b2233,+,"CHIP-SV, MSI",inf
fnr,b1334,yfaL,b2233,-,"CHIP-SV, MSI",inf
fnr,b1334,nrdA,b2234,-,"CHIP-SV, MSI",inf
fnr,b1334,nrdB,b2235,-,"CHIP-SV, MSI",inf
fnr,b1334,yfaE,b2236,-,"CHIP-SV, MSI",inf
fnr,b1334,glpQ,b2239,+,"[AIBSCS, GEA, HIBSCS]",1
fnr,b1334,glpT,b2240,+,"[AIBSCS, GEA, HIBSCS]",1
fnr,b1334,glpA,b2241,+,"[AIBSCS, GEA, HIBSCS]",1
fnr,b1334,glpB,b2242,+,"[AIBSCS, GEA, HIBSCS]",1
fnr,b1334,glpC,b2243,+,"[AIBSCS, GEA, HIBSCS]",1
fnr,b1334,arnB,b2253,-,"CHIP-SV, MSI",inf
fnr,b1334,arnC,b2254,-,"CHIP-SV, MSI",inf
fnr,b1334,arnA,b2255,-,"CHIP-SV, MSI",inf
fnr,b1334,arnD,b2256,-,"CHIP-SV, MSI",inf
fnr,b1334,arnT,b2257,-,"CHIP-SV, MSI",inf
fnr,b1334,arnF,b2258,-,"CHIP-SV, MSI",inf
fnr,b1334,nuoN,b2276,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoN,b2276,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoM,b2277,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoM,b2277,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoL,b2278,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoL,b2278,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoK,b2279,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoK,b2279,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoJ,b2280,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoJ,b2280,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoI,b2281,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoI,b2281,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoH,b2282,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoH,b2282,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoG,b2283,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoG,b2283,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoF,b2284,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoF,b2284,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoE,b2285,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoE,b2285,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoC,b2286,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoC,b2286,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoB,b2287,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoB,b2287,+,"CHIP-SV, MSI",inf
fnr,b1334,nuoA,b2288,-,"[BCE, GEA, SM]",1
fnr,b1334,nuoA,b2288,+,"CHIP-SV, MSI",inf
fnr,b1334,yfbV,b2295,+,"CHIP-SV, MSI",inf
fnr,b1334,yfbV,b2295,-,"CHIP-SV, MSI",inf
fnr,b1334,ackA,b2296,+,[GEA],1
fnr,b1334,ackA,b2296,+,"CHIP-SV, MSI",inf
fnr,b1334,pta,b2297,+,"CHIP-SV, MSI",inf
fnr,b1334,yfcC,b2298,+,"CHIP-SV, MSI",inf
fnr,b1334,yfcC,b2298,-,"CHIP-SV, MSI",inf
fnr,b1334,yfcZ,b2343,+,"CHIP-SV, MSI",inf
fnr,b1334,fadL,b2344,+,"CHIP-SV, MSI",inf
fnr,b1334,fadL,b2344,-,"CHIP-SV, MSI",inf
fnr,b1334,emrY,b2367,+,"[AIBSCS, GEA]",1
fnr,b1334,emrK,b2368,+,"[AIBSCS, GEA]",1
fnr,b1334,yffL,b2443,+,"CHIP-SV, MSI",inf
fnr,b1334,yffL,b2443,-,"CHIP-SV, MSI",inf
fnr,b1334,yffQ,b2448,+,"CHIP-SV, MSI",inf
fnr,b1334,yffQ,b2448,-,"CHIP-SV, MSI",inf
fnr,b1334,yffR,b2449,+,"CHIP-SV, MSI",inf
fnr,b1334,yffR,b2449,-,"CHIP-SV, MSI",inf
fnr,b1334,yffS,b2450,-,"CHIP-SV, MSI",inf
fnr,b1334,yffS,b2450,+,"CHIP-SV, MSI",inf
fnr,b1334,hyfA,b2481,-,"[GEA, HIBSCS]",1
fnr,b1334,hyfB,b2482,-,"[GEA, HIBSCS]",1
fnr,b1334,hyfC,b2483,-,"[GEA, HIBSCS]",1
fnr,b1334,hyfD,b2484,-,"[GEA, HIBSCS]",1
fnr,b1334,hyfE,b2485,-,"[GEA, HIBSCS]",1
fnr,b1334,hyfF,b2486,-,"[GEA, HIBSCS]",1
fnr,b1334,hyfG,b2487,-,"[GEA, HIBSCS]",1
fnr,b1334,hyfH,b2488,-,"[GEA, HIBSCS]",1
fnr,b1334,hyfI,b2489,-,"[GEA, HIBSCS]",1
fnr,b1334,hyfJ,b2490,-,"[GEA, HIBSCS]",1
fnr,b1334,hyfR,b2491,-,"[GEA, HIBSCS]",1
fnr,b1334,focB,b2492,-,"[GEA, HIBSCS]",1
fnr,b1334,upp,b2498,+,"[AIBSCS, GEA]",1
fnr,b1334,uraA,b2497,+,"[AIBSCS, GEA]",1
fnr,b1334,upp,b2498,+,"CHIP-SV, MSI",inf
fnr,b1334,uraA,b2497,+,"CHIP-SV, MSI",inf
fnr,b1334,purM,b2499,-,"[AIBSCS, GEA, HIBSCS, SM]",1
fnr,b1334,purM,b2499,+,"CHIP-SV, MSI",inf
fnr,b1334,purN,b2500,-,"[AIBSCS, GEA, HIBSCS, SM]",1
fnr,b1334,purN,b2500,+,"CHIP-SV, MSI",inf
fnr,b1334,pdeF,b2503,+,"[BPP, GEA, HIBSCS]",2
fnr,b1334,guaA,b2507,+,"CHIP-SV, MSI",inf
fnr,b1334,guaB,b2508,+,"CHIP-SV, MSI",inf
fnr,b1334,xseA,b2509,+,"CHIP-SV, MSI",inf
fnr,b1334,xseA,b2509,-,"CHIP-SV, MSI",inf
fnr,b1334,hmp,b2552,-,"[BPP, GEA, HIBSCS, SM]",2
fnr,b1334,grcA,b2579,-,"[BPP, GEA, SM]",2
fnr,b1334,grcA,b2579,+,"[BPP, GEA, SM]",2
fnr,b1334,yfiD,b2579,+,"CHIP-SV, MSI",inf
fnr,b1334,ung,b2580,+,"CHIP-SV, MSI",inf
fnr,b1334,ung,b2580,-,"CHIP-SV, MSI",inf
fnr,b1334,rpsP,b2609,-,[GEA],1
fnr,b1334,rimM,b2608,-,[GEA],1
fnr,b1334,trmD,b2607,-,[GEA],1
fnr,b1334,rplS,b2606,-,[GEA],1
fnr,b1334,norV,b2710,-,"[GEA, HIBSCS]",1
fnr,b1334,norW,b2711,-,"[GEA, HIBSCS]",1
fnr,b1334,hypB,b2727,+,"[BCE, BPP, GEA]",1
fnr,b1334,hypC,b2728,+,"[BCE, BPP, GEA]",1
fnr,b1334,hypD,b2729,+,"[BCE, BPP, GEA]",1
fnr,b1334,hypE,b2730,+,"[BCE, BPP, GEA]",1
fnr,b1334,fhlA,b2731,+,"[BCE, BPP, GEA]",1
fnr,b1334,ygbA,b2732,-,"[AIBSCS, GEA]",1
fnr,b1334,ygcN,b2766,+,"CHIP-SV, MSI",inf
fnr,b1334,ygcN,b2766,-,"CHIP-SV, MSI",inf
fnr,b1334,ygcO,b2767,+,"CHIP-SV, MSI",inf
fnr,b1334,ygcO,b2767,-,"CHIP-SV, MSI",inf
fnr,b1334,ygcP,b2768,+,"CHIP-SV, MSI",inf
fnr,b1334,ygcP,b2768,-,"CHIP-SV, MSI",inf
fnr,b1334,eno,b2779,-,"CHIP-SV, MSI",inf
fnr,b1334,pyrG,b2780,-,"CHIP-SV, MSI",inf
fnr,b1334,yqcA,b2790,-,"CHIP-SV, MSI",inf
fnr,b1334,truC,b2791,-,"CHIP-SV, MSI",inf
fnr,b1334,yqcC,b2792,-,"CHIP-SV, MSI",inf
fnr,b1334,mltA,b2813,+,"CHIP-SV, MSI",inf
fnr,b1334,mltA,b2813,-,"CHIP-SV, MSI",inf
fnr,b1334,metV,b2816,+,"CHIP-SV, MSI",inf
fnr,b1334,metW,b2815,+,"CHIP-SV, MSI",inf
fnr,b1334,metZ,b2814,+,"CHIP-SV, MSI",inf
fnr,b1334,metV,b2816,-,"CHIP-SV, MSI",inf
fnr,b1334,metW,b2815,-,"CHIP-SV, MSI",inf
fnr,b1334,metZ,b2814,-,"CHIP-SV, MSI",inf
fnr,b1334,xdhA,b2866,+,"[GEA, HIBSCS]",1
fnr,b1334,xdhB,b2867,+,"[GEA, HIBSCS]",1
fnr,b1334,xdhC,b2868,+,"[GEA, HIBSCS]",1
fnr,b1334,gcvP,b2903,+,"[AIBSCS, GEA]",1
fnr,b1334,gcvH,b2904,+,"[AIBSCS, GEA]",1
fnr,b1334,gcvT,b2905,+,"[AIBSCS, GEA]",1
fnr,b1334,speB,b2937,+,"CHIP-SV, MSI",inf
fnr,b1334,speB,b2937,-,"CHIP-SV, MSI",inf
fnr,b1334,speA,b2938,+,"CHIP-SV, MSI",inf
fnr,b1334,speA,b2938,-,"CHIP-SV, MSI",inf
fnr,b1334,yqgB,b2939,+,"CHIP-SV, MSI",inf
fnr,b1334,yqgB,b2939,-,"CHIP-SV, MSI",inf
fnr,b1334,yqgC,b2940,+,"CHIP-SV, MSI",inf
fnr,b1334,yqgD,b2941,+,"CHIP-SV, MSI",inf
fnr,b1334,yqgD,b2941,-,"CHIP-SV, MSI",inf
fnr,b1334,metK,b2942,+,"CHIP-SV, MSI",inf
fnr,b1334,ansB,b2957,+,"[BCE, SM]",1
fnr,b1334,hybG,b2990,+,"CHIP-SV, MSI",inf
fnr,b1334,hybF,b2991,+,"CHIP-SV, MSI",inf
fnr,b1334,hybE,b2992,+,"CHIP-SV, MSI",inf
fnr,b1334,hybD,b2993,+,"CHIP-SV, MSI",inf
fnr,b1334,hybC,b2994,+,"CHIP-SV, MSI",inf
fnr,b1334,hybB,b2995,+,"CHIP-SV, MSI",inf
fnr,b1334,hybA,b2996,+,"CHIP-SV, MSI",inf
fnr,b1334,hybO,b2997,+,"CHIP-SV, MSI",inf
fnr,b1334,yghW,b2998,+,"CHIP-SV, MSI",inf
fnr,b1334,yqhA,b3002,+,"CHIP-SV, MSI",inf
fnr,b1334,yqhA,b3002,-,"CHIP-SV, MSI",inf
fnr,b1334,yghA,b3003,-,"CHIP-SV, MSI",inf
fnr,b1334,yghB,b3009,+,"CHIP-SV, MSI",inf
fnr,b1334,yghB,b3009,-,"CHIP-SV, MSI",inf
fnr,b1334,yqjI,b3071,+,"[AIBSCS, GEA]",1
fnr,b1334,aer,b3072,+,"[AIBSCS, GEA]",1
fnr,b1334,uxaA,b3091,+,"[AIBSCS, GEA]",1
fnr,b1334,uxaA,b3091,+,"CHIP-SV, MSI",inf
fnr,b1334,uxaA,b3091,-,"CHIP-SV, MSI",inf
fnr,b1334,uxaC,b3092,+,"[AIBSCS, GEA]",1
fnr,b1334,uxaC,b3092,+,"CHIP-SV, MSI",inf
fnr,b1334,uxaC,b3092,-,"CHIP-SV, MSI",inf
fnr,b1334,exuT,b3093,+,"CHIP-SV, MSI",inf
fnr,b1334,exuT,b3093,-,"CHIP-SV, MSI",inf
fnr,b1334,tdcA,b3118,+,"[AIBSCS, GEA]",1
fnr,b1334,tdcB,b3117,+,"[AIBSCS, GEA]",1
fnr,b1334,tdcC,b3116,+,"[AIBSCS, GEA]",1
fnr,b1334,tdcD,b3115,+,"[AIBSCS, GEA]",1
fnr,b1334,tdcE,b3114,+,"[AIBSCS, GEA]",1
fnr,b1334,tdcF,b3113,+,"[AIBSCS, GEA]",1
fnr,b1334,tdcG,b4471,+,"[AIBSCS, GEA]",1
fnr,b1334,tdcR,b3119,+,"CHIP-SV, MSI",inf
fnr,b1334,tdcR,b3119,-,"CHIP-SV, MSI",inf
fnr,b1334,yhaB,b3120,+,"CHIP-SV, MSI",inf
fnr,b1334,yhaB,b3120,-,"CHIP-SV, MSI",inf
